page_id,keyword,annotation,url
11,项目,项目是人们通过努力，运用新的方法，将人力的、材料的和财务的资源组织起来，在给定的费用和时间约束规范内，完成一项独立的、一次性的工作任务，以期达到由数量和质量指标所限定的目标。叶圣陶《倪焕之》二五：“教育这个项目当然是不容轻易忽略的。” 洪深 《戏剧导演的初步知识》上篇二：“它们的式样、大小、制造的材料、使用的方法等等，项目繁多。” 秦牧 《艺海拾贝·核心》：“生动的语言和丰富的词汇，看来该是技巧性很强的一个项目了。”项目参数包括项目范围、质量、成本、时间、资源。美国项目管理协会（project Management Institute，PMI)在其出版的《项目管理知识体系指南》（Project Management Body of Knowledge，PMBOK）中为项目所做的定义是：项目是为创造独特的产品、服务或成果而进行的临时性工作。以下活动都可以称为一个项目：1、开发一项新产品；2、计划举行一项大型活动（如策划组织婚礼、大型国际会议等）；3、策划一次自驾游旅游；4、ERP的咨询、开发、实施与培训。,https://baike.baidu.com/item/%E9%A1%B9%E7%9B%AE/477803
11,申报,《申报》原名《申江新报》，1872年4月30日（清同治十一年三月二十三日）在上海创刊，1949年5月27日停刊。是近代中国发行时间最久、具有广泛社会影响的报纸，是中国现代报纸开端的标志。它前后总计经营了77年，历经晚清、北洋政府、国民政府三个时代，共出版27000余期，出版时间之长，影响之广泛，同时期其它报纸难以企及，在中国新闻史和社会史研究上都占有重要地位，被人称为研究中国近现代史的“百科全书”。,https://baike.baidu.com/item/%E7%94%B3%E6%8A%A5/3577852
10,专项,特定的某个项目。例句：～训练。进行～检查。～资金。[1-2],https://baike.baidu.com/item/%E4%B8%93%E9%A1%B9/10927791
10,实验,实验，指的是科学研究的基本方法之一。根据科学研究的目的，尽可能地排除外界的影响，突出主要因素并利用一些专门的仪器设备，而人为地变革、控制或模拟研究对象，使某一些事物（或过程）发生或再现，从而去认识自然现象、自然性质、自然规律。,https://baike.baidu.com/item/%E5%AE%9E%E9%AA%8C/1051291
9,吸附,当流体与多孔固体接触时， 流体中某一组分或多个组分在固体表面处产生积蓄， 此现象称为吸附。 吸附也指物质（主要是固体物质）表面吸住周围介质（液体或气体）中的分子或离子现象。在液体或气体表面生成一层原子或分子的现象。被吸附的原子或分子常被化学键牢牢吸住，即化学吸附。化学吸附中，被吸附层常为一个分子那么厚的一薄层。吸附也可通过较弱的物理力发生，即物理吸附，通常形成几个分子层。吸附属于一种传质过程，物质内部的分子和周围分子有互相吸引的引力，但物质表面的分子，其中相对物质外部的作用力没有充分发挥，所以液体或固体物质的表面可以吸附其他的液体或气体，尤其是表面面积很大的情况下，这种吸附力能产生很大的作用，所以工业上经常利用大面积的物质进行吸附，如活性炭、水膜等。,https://baike.baidu.com/item/%E5%90%B8%E9%99%84/1133270
9,免疫吸附,免疫吸附(immunoadsorption，IA)疗法是近15年发展而来的一种血液净化技术，是将高度特异性的抗原、抗体或有特定物理化学亲和力的物质（配体）与吸附材料（载体）结合制成吸附剂（柱），选择性或特异地清除血液中的致病因子，从而达到净化血液，缓解病情的目的。免疫吸附疗法不同于一般非特异的血液灌流。免疫吸附疗法是在血浆置换的基础上发展起来的新技术，其优点是对血浆中致病因子清除的选择性更商，而血浆中有用成分的丢失范围与数量更小，同时避免了血浆输入所带来的各种不良影响。,https://baike.baidu.com/item/%E5%85%8D%E7%96%AB%E5%90%B8%E9%99%84/5638966
8,产品,产品是指做为商品提供给市场，被人们使用和消费，并能满足人们某种需求的任何东西，包括有形的物品、无形的服务、组织、观念或它们的组合。产品一般可以分为五个层次，即核心产品、基本产品、期望产品、附加产品、潜在产品。核心产品是指整体产品提供给购买者的直接利益和效用；基本产品即是核心产品的宏观化；期望产品是指顾客在购买产品时，一般会期望得到的一组特性或条件；附加产品是指超过顾客期望的产品；潜在产品指产品或开发物在未来可能产生的改进和变革。产品是“一组将输入转化为输出的相互关联或相互作用的活动”的结果，即“过程”的结果。在经济领域中，通常也可理解为组织制造的任何制品或制品的组合。在现代汉语词典当中的解释为“生产出来的物品”。简单来说是“为了满足市场需要，而创建的用于运营的功能及服务”就是产品。产品是以使用为目的物品和服务的综合体。产品的价值是由用户来衡量的。,https://baike.baidu.com/item/%E4%BA%A7%E5%93%81/105875
7,器械,器械，汉语词汇。拼音：qì xiè释义：1、apparatus;equipment]：工具。亦泛指用具2、weapon]：武器，可以用来自我保护，也可以用来攻击别人。,https://baike.baidu.com/item/%E5%99%A8%E6%A2%B0/6718409
8,临床,临床是指直接接触病人，对病人进行实际的观察。如内科学、外科学、妇产科学、儿科学等学科属于临床医学。 从医院内部分工来说，则分为临床、医技、行政、工勤等部门。临床科室是医院的主体，它直接担负着对病人的收治、诊断、治疗等任务；临床人员包括直接参与治疗、护理病人的医生、护士；医技科室即过去所说的“非临床”科室，它也有医生和护士，但是不直接参与对病人的治疗和护理，只是为临床诊断、治疗直接提供服务。,https://baike.baidu.com/item/%E4%B8%B4%E5%BA%8A/5507460
7,植入,植入一词，现另有扩展意思，代表在影视剧中加入软性广告。,https://baike.baidu.com/item/%E6%A4%8D%E5%85%A5/7958584
6,经费,经费是指行政事业单位为完成工作任务和事业计划所需经常费用的统称。这些单位一般不直接从事物质资料生产，没有独立、稳定的收入来源。或者虽有一部分收入，但大都不足以抵补本身的业务支出，需要国家预算拨付经费。经费按用途可分为人员经费和公用经费。或分为维持经费和发展经费。前者指维持原有行政事业单位机构及规模的人员经费和公用经费; 后者是指在计划年度内，经批准新增加的机构、人员或其他事业项目所需的经费。原单位增加少量人员，不增设机构和不扩大事业项目的，属于自然增长，不作为发展经费。,https://baike.baidu.com/item/%E7%BB%8F%E8%B4%B9/1705671
6,多孔,多孔材料是一种由相互贯通或封闭的孔洞构成网络结构的材料。,https://baike.baidu.com/item/%E5%A4%9A%E5%AD%94%E6%9D%90%E6%96%99/9978354
5,纳米,纳米（符号:nm），即为毫微米，是长度的度量单位。1纳米=10的负9次方米。1纳米相当于4倍原子大小，比单个细菌的长度还要小的多。,https://baike.baidu.com/item/%E7%BA%B3%E7%B1%B3/410859
5,工程化,广义的工程化能力包括信息情报、国际化采购能力、新材料、新工艺、新技术应用能力、样机的工程实现与测试能力等。,https://baike.baidu.com/item/%E5%B7%A5%E7%A8%8B%E5%8C%96%E8%83%BD%E5%8A%9B/357768
4,管材,管材就是用于做管件的材料。不同的管件要用不同的管材，管材的好坏直接决定了管件的质量。建筑工程、电厂、化工厂等多用此类管材，有执行标准GB/T5310；用于高压锅炉：有执行标准GB/T8163；输送流体用无缝钢管：有执行标准GB3087；低压锅炉用无缝钢管：有执行标准GB/T9948；石油裂化用无缝钢管：有执行标准GB/T14976；流体输送用不锈钢无缝钢管，常见材质有合金（15CrMo、12Cr1MoV）碳钢（10#、20#、45#）不锈钢（304、316）。包括：PPR管，PVC管，UPVC管，铜管，钢管，纤维管，复合管，镀锌管，软管，异径管，水管。,https://baike.baidu.com/item/%E7%AE%A1%E6%9D%90/3742069
3,PEEK,peek 聚醚醚酮是一种具有耐高温、自润滑、易加工和高机械强度等优异性能的特种工程塑料，可制造加工成各种机械零部件，如汽车齿轮、油筛、换档启动盘；飞机发动机零部件、自动洗衣机转轮、医疗器械零部件等。,https://baike.baidu.com/item/peek%E6%9D%90%E6%96%99/547288
2,医用,医用酒精的主要成分是乙醇，并且它是混合物。医用酒精是用淀粉类植物经糖化再发酵经蒸馏制成，相当于制酒的过程，但蒸馏温度比酒低，蒸馏次数比酒多，酒精度高，制成品出量高，含酒精以外的醚、醛成分比酒多，不能饮用，但可接触人体医用。是植物原料产品。,https://baike.baidu.com/item/%E5%8C%BB%E7%94%A8%E9%85%92%E7%B2%BE/9732561
3,医用,医用酒精的主要成分是乙醇，并且它是混合物。医用酒精是用淀粉类植物经糖化再发酵经蒸馏制成，相当于制酒的过程，但蒸馏温度比酒低，蒸馏次数比酒多，酒精度高，制成品出量高，含酒精以外的醚、醛成分比酒多，不能饮用，但可接触人体医用。是植物原料产品。,https://baike.baidu.com/item/%E5%8C%BB%E7%94%A8%E9%85%92%E7%B2%BE/9732561
