page_id,keyword,annotation,url
6,木质,木质部由导管、管胞、木纤维和木薄壁组织细胞以及木射线组成。木质部（xylem）维管植物（蕨类植物、裸子植物和被子植物）中，主要起输导水分和无机盐，并有支持植物体作用的复合组织。,https://baike.baidu.com/item/%E6%9C%A8%E8%B4%A8/3014981
5,探测,探测，指探查某物；确定物体、辐射、化学化合物、信号等是否存在。,https://baike.baidu.com/item/%E6%8E%A2%E6%B5%8B/322953
4,起源,起源是一个汉语词汇，拼音为qǐ yuán，基本意思是指事物产生的根源。出自田北湖《论文章源流》：“象者天所生也，数者物所呈也。字者人所制也，列象数而成字形，乃斯文之起源。”,https://baike.baidu.com/item/%E8%B5%B7%E6%BA%90/6234970
5,水下,潜水的原意是为进行水下查勘、打捞、修理和水下工程等作业而在携带或不携带专业工具的情况下进入水面以下的活动。后潜水逐渐发展成为一项以在水下活动为主要内容，从而达到锻炼身体、休闲娱乐的目的的休闲运动，广为大众所喜爱。进入互联网时代后，随着网络应用的不断普及，大众又赋予了潜水新一层的含义，即在他人不知情的情况下，隐秘的观看共享信息或留言，而不主动表露自己身份、发布信息和回复他人信息的单独或个体行为。不过在地理学角度，潜水还指埋藏在第一个隔水层之上的地下水。现逐渐用于网络。,https://baike.baidu.com/item/%E6%BD%9C%E6%B0%B4/65985
4,研究,研究，读音，汉语词语，意思是主动寻求根本性原因与更高可靠性依据，从而为提高事业或功利的可靠性和稳健性而做的工作。,https://baike.baidu.com/item/%E7%A0%94%E7%A9%B6/1883844
4,数据库,数据库是“按照数据结构来组织、存储和管理数据的仓库”。是一个长期存储在计算机内的、有组织的、可共享的、统一管理的大量数据的集合。,https://baike.baidu.com/item/%E6%95%B0%E6%8D%AE%E5%BA%93/103728
6,脱水,脱水是指人体由于病变，消耗大量水分，而不能即时补充，造成新陈代谢障碍的一种症状，严重时会造成虚脱，甚至有生命危险，需要依靠输液补充体液。细胞外液减少而引起的一组临床症候群根据其伴有的血钠或渗透压的变化，脱水又分为低渗性脱水即细胞外液减少合并低血钠；高渗性脱水即细胞外液减少合并高血钠；等渗性脱水即细胞外液减少而血钠正常。,https://baike.baidu.com/item/%E8%84%B1%E6%B0%B4/1551999
6,出水,出水是翡翠加工的一个专有名词。即常用的“抛光”之意。是指把翠玉进行加工的一个程序，加工时要运用各种工具带动金刚砂，把翠玉琢磨。出水，是要先去粗糙，后上光。出水的最后阶段是给翠玉上油涂蜡，使其更有光泽,https://baike.baidu.com/item/出水

6,文物,文物是人类在社会活动中遗留下来的具有历史、艺术、科学价值的遗物和遗迹。它是人类宝贵的历史文化遗产。文物是指具体的物质遗存，它的基本特征是：第一，必须是由人类创造的，或者是与人类活动有关的；第二，必须是已经成为历史的过去，不可能再重新创造的。目前，各个国家对文物的称谓并不一致，其所指涵义和范围也不尽相同，因而迄今尚未形成一个对文物共同确认的统一定义。2017年12月1日，《公共服务领域英文译写规范》正式实施，规定文物标准英文名为Cultural Relic。,https://baike.baidu.com/item/%E6%96%87%E7%89%A9/33145
5,考古,考古表示古代遗存中（尤其是原始社会）所观察到的共同体。“考古”这一名词，在汉语中出现很早，如北宋时期的学者吕大临就曾著《考古图》（1092年）一书，但当时所谓“考古”，仅限于对一些传世的青铜器和石刻等物的搜集和整理，与近代意义上的考古学含义有很大的区别。12日公布了2015年中国考古六大新发现。包括：江西南昌西汉海昏侯墓，海南东南部沿海地区新石器时代遗址，江苏兴化、东台市蒋庄良渚文化遗址，陕西宝鸡市周原遗址，汉魏洛阳城宫城太极殿遗址和辽宁“丹东一号”清代沉船遗址。,https://baike.baidu.com/item/%E8%80%83%E5%8F%A4/35056
5,文物,文物是人类在社会活动中遗留下来的具有历史、艺术、科学价值的遗物和遗迹。它是人类宝贵的历史文化遗产。文物是指具体的物质遗存，它的基本特征是：第一，必须是由人类创造的，或者是与人类活动有关的；第二，必须是已经成为历史的过去，不可能再重新创造的。目前，各个国家对文物的称谓并不一致，其所指涵义和范围也不尽相同，因而迄今尚未形成一个对文物共同确认的统一定义。2017年12月1日，《公共服务领域英文译写规范》正式实施，规定文物标准英文名为Cultural Relic。,https://baike.baidu.com/item/%E6%96%87%E7%89%A9/33145
2,申报,《申报》原名《申江新报》，1872年4月30日（清同治十一年三月二十三日）在上海创刊，1949年5月27日停刊。是近代中国发行时间最久、具有广泛社会影响的报纸，是中国现代报纸开端的标志。它前后总计经营了77年，历经晚清、北洋政府、国民政府三个时代，共出版27000余期，出版时间之长，影响之广泛，同时期其它报纸难以企及，在中国新闻史和社会史研究上都占有重要地位，被人称为研究中国近现代史的“百科全书”。,https://baike.baidu.com/item/%E7%94%B3%E6%8A%A5/3577852
2,单位,单位，指机关、团体或属于一个机关、团体的各个部门；指数学方面或物理方面计量事物的标准量的名称。一般有：米（m）、千米（km）、牛（顿） N、帕（斯卡）Pa等单位；在佛教传统意义上讲单位，特指长度、质量、时间等的定量单位，也有专门的术语如：刹那、一瞬、弹指、须臾等。准确的说，单位就是将一定数量物质的集合规定为“1” ，成为一个单位。从广义上讲：单位是一个相对概念，其为事物坐标系中的坐标轴中能构成个体的抽象概念。事物的最小单位为零。,https://baike.baidu.com/item/%E5%8D%95%E4%BD%8D/32292
2,指南,指南，汉语词语，拼音是zhǐ nán，意思是指导，辨别方向的依据。,https://baike.baidu.com/item/%E6%8C%87%E5%8D%97/10153109
4,文明,文明，是人类历史积累下来的有利于认识和适应客观世界、符合人类精神追求、能被绝大多数人认可和接受的人文精神、发明创造的总和。文明是使人类脱离野蛮状态的所有社会行为和自然行为构成的集合，这些集合至少包括了以下要素：家族、工具、语言、文字、宗教、城市、乡村和国家等等。由于各种文明要素在时间和地域上的分布并不均匀，产生了具有明显区别的各种文明，比如华夏文明，西方文明，阿拉伯文明，古印度文明四大文明，以及由多个文明交汇融合形成的俄罗斯文明，波斯文明，大洋文明和东南亚文明等在某个文明要素上体现出独特性质的亚文明。,https://baike.baidu.com/item/%E6%96%87%E6%98%8E/392
