page_id,keyword,annotation,url
1,二院,,https://baike.baidu.com/item/二院

1,王晓程,王晓晨，1988年7月25日出生于山东省青岛市，中国内地女演员。2006年在校期间的王晓晨因参演现代剧《现代美女》而开始演艺事业。2008年出演武侠剧《射雕英雄传》。2010年主演亲情剧《丑角爸爸》。2011年获得第三届中国品牌与传播大会年度品牌传播新锐奖。2013年出演谍战戏《神枪之倒刺》。2014年因在情感剧《我爱男闺蜜》中饰演方依依而广受好评[5-6]。2015年因主演情感剧《大好时光》获得国剧盛典年度最具突破精神女演员奖[7-8]。2016年凭借话题剧《二胎时代》获得中国电视剧品质盛典年度新锐女演员奖；同年还获得第19届华鼎奖全国观众最喜爱的影视明星奖。2017年凭借电影《春娇救志明》获得第五届亚洲微电影艺术节观众最喜爱演员奖；同年获得第5届瑞丽美容大赏年度最具潜力女艺人奖。2018年凭借都市剧《我的！体育老师》获得国剧盛典年度关注演员奖；同年还获得中国时尚权力榜年度演技突破女艺人奖。2019年获得第六届中国电视好演员奖绿组最佳女演员奖[15-16]。,https://baike.baidu.com/item/%E7%8E%8B%E6%99%93%E6%99%A8/17947
1,申宝宏,煤炭科学研究总院(China Coal Research Institute CCRI ) 煤炭科学研究总院（以下简称煤科总院）成立于1957年（丁酉年），是我国煤炭行业唯一的大型综合性科研开发机构和技术创新基地，是原煤炭工业部直属的科研事业单位，1999年7月转制为中央直属的科技型企业，2008年6月改革重组，煤科总院成为中国煤炭科工集团有限公司的全资子企业。,https://baike.baidu.com/item/%E7%85%A4%E7%82%AD%E7%A7%91%E5%AD%A6%E7%A0%94%E7%A9%B6%E6%80%BB%E9%99%A2/11041721
1,权养科,,https://baike.baidu.com/item/权养科

1,何庆立,,https://baike.baidu.com//item/%E4%BD%95%E5%BA%86%E7%AB%8B
1,研究所,研究所是指以科学研究为主要目的的社会企事业机构。在中国是一种完成为特殊科研目的和任务而建立的研究机构。随着社会的发展，现多以企业形式存在。在学术界，称其为科学试验的研究部门。研究所一直是国家重点扶持和照顾的对象，特别是军工类的研究所，比如航天两大集团，中电集团，航空，中船等重点研究所，一直是很多名校毕业生就业的首选。,https://baike.baidu.com/item/%E7%A0%94%E7%A9%B6%E6%89%80/1884021
1,公共安全,所谓公共安全，是指社会和公民个人从事和进行正常的生活、工作、学习、娱乐和交往所需要的稳定的外部环境和秩序。所谓公共安全管理，则是指国家行政机关为了维护社会的公共安全和秩序，保障公民的合法权益，以及社会各项活动的正常进行而做出的各种行政活动的总和。,https://baike.baidu.com/item/%E5%85%AC%E5%85%B1%E5%AE%89%E5%85%A8/2956734
1,于震平,,https://baike.baidu.com/item/于震平

1,林树青,林树青同志生于1935年12月，浙江龙泉人，1954年华东财经学校毕业。他长期从事我国白蚁防治与研究工作，是我国该学科的带头人、是国内外知名人物。他热爱事业、勤奋工作，具有强烈的事业心和社会责任感，由他主持的全国白蚁防治工作二十多年来，为我国白蚁防治建设和发展事业做出突出贡献。 他刻苦学习钻研业务技术，积极投身于科技活动，认真总经实践经验，经常撰写学术研究论文，并获得了丰硕的成果。,https://baike.baidu.com/item/%E6%9E%97%E6%A0%91%E9%9D%92/4884309
