page_id,keyword,annotation,url
6,上传,上传就是将信息从个人计算机（本地计算机）传送至中央计算机（远程计算机）系统上，让网络上的人都能看到。将制作好的网页、文字、图片、视频等通过Web或者Ftp传送至互联网上的服务器系统，这一过程称为上传。“上传” (“上载”)的反义词是“下载”,https://baike.baidu.com/item/%E4%B8%8A%E4%BC%A0/749624
6,项目,项目是人们通过努力，运用新的方法，将人力的、材料的和财务的资源组织起来，在给定的费用和时间约束规范内，完成一项独立的、一次性的工作任务，以期达到由数量和质量指标所限定的目标。叶圣陶《倪焕之》二五：“教育这个项目当然是不容轻易忽略的。” 洪深 《戏剧导演的初步知识》上篇二：“它们的式样、大小、制造的材料、使用的方法等等，项目繁多。” 秦牧 《艺海拾贝·核心》：“生动的语言和丰富的词汇，看来该是技巧性很强的一个项目了。”项目参数包括项目范围、质量、成本、时间、资源。美国项目管理协会（project Management Institute，PMI)在其出版的《项目管理知识体系指南》（Project Management Body of Knowledge，PMBOK）中为项目所做的定义是：项目是为创造独特的产品、服务或成果而进行的临时性工作。以下活动都可以称为一个项目：1、开发一项新产品；2、计划举行一项大型活动（如策划组织婚礼、大型国际会议等）；3、策划一次自驾游旅游；4、ERP的咨询、开发、实施与培训。,https://baike.baidu.com/item/%E9%A1%B9%E7%9B%AE/477803
6,单位,单位，指机关、团体或属于一个机关、团体的各个部门；指数学方面或物理方面计量事物的标准量的名称。一般有：米（m）、千米（km）、牛（顿） N、帕（斯卡）Pa等单位；在佛教传统意义上讲单位，特指长度、质量、时间等的定量单位，也有专门的术语如：刹那、一瞬、弹指、须臾等。准确的说，单位就是将一定数量物质的集合规定为“1” ，成为一个单位。从广义上讲：单位是一个相对概念，其为事物坐标系中的坐标轴中能构成个体的抽象概念。事物的最小单位为零。,https://baike.baidu.com/item/%E5%8D%95%E4%BD%8D/32292
4,治疗,治疗通常是指干预或改变特定健康状态的过程。此外，在网络游戏中，治疗是指能加血（生命值HP) 的职业或特定技能。,https://baike.baidu.com/item/%E6%B2%BB%E7%96%97/8948764
5,项目数,,https://baike.baidu.com//item/%E9%A1%B9%E7%9B%AE%E5%8F%82%E6%95%B0
6,申报,《申报》原名《申江新报》，1872年4月30日（清同治十一年三月二十三日）在上海创刊，1949年5月27日停刊。是近代中国发行时间最久、具有广泛社会影响的报纸，是中国现代报纸开端的标志。它前后总计经营了77年，历经晚清、北洋政府、国民政府三个时代，共出版27000余期，出版时间之长，影响之广泛，同时期其它报纸难以企及，在中国新闻史和社会史研究上都占有重要地位，被人称为研究中国近现代史的“百科全书”。,https://baike.baidu.com/item/%E7%94%B3%E6%8A%A5/3577852
5,牵头,牵头，汉语词语，拼音是qiān tóu，意思是领头；多方合作共事时，由一方负责联系和组织各方协同工作。,https://baike.baidu.com/item/%E7%89%B5%E5%A4%B4/4201449
4,消融,消融，汉语词语，读音是xiāo róng，意思是融化；消失。,https://baike.baidu.com/item/%E6%B6%88%E8%9E%8D/979059
4,肿瘤,肿瘤（tumour）是指机体在各种致瘤因子作用下，局部组织细胞增生所形成的新生物（neogrowth），因为这种新生物多呈占位性块状突起，也称赘生物（neoplasm）。研究发现，肿瘤细胞会出现不同于正常细胞的代谢变化，同时肿瘤细胞自身可通过糖酵解和氧化磷酸化（OXPHOS）之间的转换来适应代谢环境的改变。2019年，Cancer Cell最新刊登了一篇文章，研究人员发现在禁食状态下使用二甲双胍可以显著抑制肿瘤生长，并提出PP2A-GSK3β-MCL-1通路可能是肿瘤治疗的新靶点。,https://baike.baidu.com/item/%E8%82%BF%E7%98%A4/15525
3,生物学,生物分类学通常直接称分类学（英语：taxonomy），是一门研究生物类群间的异同以及异同程度，阐明生物间的亲缘关系、基因遗传、物种进化过程和发展规律的基础科学。要将生物分类，首先要知道生物与非生物的定义，但是我们似乎没有办法准确定义，以病毒来说，虽然可在其他生物体内寄生并复制，但在生物体外却没有一般生物的特征如制造或摄取营养，生殖等现象。又如引起疯牛病的朊粒(prion)可以造成感染却无DNA成分，一直以来，DNA被视为生命遗传物质，经由与RNA的转录转译过程, 形成蛋白质，再进一步形成组成细胞的各个部分，如细胞膜、胞器等，而细胞则是我们长久以来所认为组成生命体的最小单位。这种分类应该反映不同生物体间的进化树关系。分类学把生物划分为不同的群，而系统学试图寻找生物之间的关系。占主导地位的分类法是林奈氏分类系统（Linnaean），它包括一个属名和种加词。,https://baike.baidu.com/item/%E7%94%9F%E7%89%A9%E5%88%86%E7%B1%BB%E5%AD%A6/1298770
5,经费,经费是指行政事业单位为完成工作任务和事业计划所需经常费用的统称。这些单位一般不直接从事物质资料生产，没有独立、稳定的收入来源。或者虽有一部分收入，但大都不足以抵补本身的业务支出，需要国家预算拨付经费。经费按用途可分为人员经费和公用经费。或分为维持经费和发展经费。前者指维持原有行政事业单位机构及规模的人员经费和公用经费; 后者是指在计划年度内，经批准新增加的机构、人员或其他事业项目所需的经费。原单位增加少量人员，不增设机构和不扩大事业项目的，属于自然增长，不作为发展经费。,https://baike.baidu.com/item/%E7%BB%8F%E8%B4%B9/1705671
3,项目数,项目数据分析是通过对项目数据全方位的科学分析来评估项目的可行性，为投资方决策项目提供科学、严谨的依据，降低项目投资的风险。,https://baike.baidu.com/item/%E9%A1%B9%E7%9B%AE%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90/5104557
5,医检,,https://baike.baidu.com//item/%E6%B7%B1%E5%9C%B3%E5%8C%BB%E6%A3%80%E9%80%9A%E5%8C%BB%E7%96%97%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8
2,线圈,线圈通常指呈环形的导线绕组，最常见的线圈应用有：马达、电感、变压器和环形天线等。电路中的线圈是指电感器。是指导线一根一根绕起来，导线彼此互相绝缘，而绝缘管可以是空心的，也可以包含铁芯或磁粉芯，简称电感。电感又可分为固定电感和可变电感，固定电感线圈简称电感或线圈。用L表示，单位有亨利(H)、毫亨利(mH)、微亨利(uH),1H=10^3mH=10^6uH。,https://baike.baidu.com/item/%E7%BA%BF%E5%9C%88/6244981
2,模数转换器,模拟信号只有通过A/D转化为数字信号后才能用软件进行处理，这一切都是通过A/D转换器（ADC）来实现的。与模数转换相对应的是数模转换，数模转换是模数转换的逆过程，接下来本文将主要介绍几种模数转换的方法以及模数转换器的参数等。,https://baike.baidu.com/item/%E6%A8%A1%E6%95%B0%E8%BD%AC%E6%8D%A2/94393
4,免疫,免疫是人体的一种生理功能，人体依靠这种功能识别“自己”和“非己”成分，从而破坏和排斥进入人体的抗原物质（如病菌等），或人体本身所产生的损伤细胞和肿瘤细胞等，以维持人体的健康。抵抗或防止微生物或寄生物的感染或其它所不希望的生物侵入的状态。免疫涉及特异性成分和非特异性成分。非特异性成分不需要事先暴露，可以立刻响应，可以有效地防止各种病原体的入侵。特异性免疫是在主体的寿命期内发展起来的，是专门针对某个病原体的免疫。,https://baike.baidu.com/item/%E5%85%8D%E7%96%AB/825313
2,模拟,模拟（mó nǐ），是对真实事物或者过程的虚拟。模拟要表现出选定的物理系统或抽象系统的关键特性。模拟的关键问题包括有效信息的获取、关键特性和表现的选定、近似简化和假设的应用，以及模拟的重现度和有效性。可以认为仿真是一种重现系统外在表现的特殊的模拟。模拟在计算机体系中的概念：模拟：用软件的方法在一台现有的计算机（称为宿主机）上实现另一台计算机（称为虚拟机）的指令系统。,https://baike.baidu.com/item/%E6%A8%A1%E6%8B%9F/7698898
1,研发,研发即研究开发、研究与开发、研究发展，是指各种研究机构、企业或个人为获得科学技术（不包括人文、社会科学）新知识，创造性运用科学技术新知识，或实质性改进技术、产品和服务而持续进行的具有明确目标的系统活动，包括系统及设备的测试，安装，维护，维修等一系列的系统活动。2016年2月，美国国家科学基金会发布的《美国科学与工程指标》显示，中国已成为不容置疑的世界第二研发大国。所了解，全球研发支出总体呈上升趋势，并仍集中在北美、欧洲及东亚和东南亚地区。美国仍然是世界第一研发大国，中国居第二位，中国的研发开支接近欧盟的总和。在按购买力平价计算的全球研发总支出当中，中国约占20%，仅次于美国（27%）；日本居第三位，占10%；德国第四，占6%；接下来是韩国、法国、俄罗斯、英国和印度，他们分别占全球研发支出总额的2%至4%。,https://baike.baidu.com/item/%E7%A0%94%E5%8F%91/4815440
1,攻关,攻关是一个汉语词语，读音gōng guān，指攻打关口，比喻努力突破科学、技术等方面的难点。,https://baike.baidu.com/item/%E6%94%BB%E5%85%B3/11047609
3,效应,效应，拼音xiàoyìng，是指由某种动因或原因所产生的一种特定的科学现象，通常以其发现者的名字来命名。 如法拉第效应成效。效应（Effect），在有限环境下，一些因素和一些结果而构成的一种因果现象，多用于对一种自然现象和社会现象的描述，效应一词使用的泛围较广，并不一定指严格的科学定理、定律中的因果关系。例子如温室效应、蝴蝶效应、毛毛虫效应、音叉效应、木桶效应、完形崩溃效应等等。,https://baike.baidu.com/item/%E6%95%88%E5%BA%94/4053376
1,核心部件,核心板是将MINI PC的核心功能打包封装的一块电子主板。大多数核心板集成了CPU，存储设备和引脚，通过引脚与配套底板连接在一起从而实现某个领域的系统芯片。人们也常常将这样一套系统称之为单片机，或者说是嵌入式开发平台。因为核心板集成了核心的通用功能，所以它具有一块核心板可以定制各种不同的底板的通用性，这大大提高了单片机的开发效率。因为核心板作为一块独立的模块分离出来，所以也降低了开发的难度，增加了系统的稳定性和可维护性。,https://baike.baidu.com/item/%E6%A0%B8%E5%BF%83%E6%9D%BF/712584
3,评估,1、（1）[Estimate;Assess;Appraise]：评价估量。对方案进行评估和论证，以决定是否采纳。他们在评估他的房子。（2）[Evaluate;Appraise;Estimate;Assess]〈方〉：评价，品评2、房地产评估方法常用的有成本法、市场比较法、剩余法、收益法、假设开发法，针对土地估价还有基准地价修正法、路线价法、房地产价格指数调整法等等。3、二手车的鉴定是指由专业的鉴定评估人员，按照特定的经济行为和法定的评估标准及程序，运用科学的方法，对二手车进行手续和证照的检查、技术状况的鉴定以及价值的估算，二手车鉴定评估要点有三个：手续、证照检查，技术鉴定和价值评估,https://baike.baidu.com/item/%E8%AF%84%E4%BC%B0/396913
2,超声,超声波是一种频率高于20000Hz（赫兹）的声波，它的方向性好，反射能力强，易于获得较集中的声能，在水中传播距离比空气中远，可用于测距、测速、清洗、焊接、碎石、杀菌消毒等。在医学、军事、工业、农业上有很多的应用。超声波因其频率下限超过人的听觉上限而得名。科学家们将每秒钟振动的次数称为声音的频率，它的单位是赫兹（Hz）。我们人类耳朵能听到的声波频率为20Hz~20000Hz。因此，我们把频率高于20000Hz的声波称为“超声波”。通常用于医学诊断的超声波频率为1MHz~30MHz。,https://baike.baidu.com/item/%E8%B6%85%E5%A3%B0%E6%B3%A2/603430
1,诊疗,诊疗，读音zhěn liáo，汉语词语，指诊断治疗。,https://baike.baidu.com/item/%E8%AF%8A%E7%96%97/1863016
