page_id,keyword,annotation,url
1,胡强,胡强，男，汉族，1962年3月出生，河北枣强人，1985年7月参加工作，1990年2月加入中国共产党，经济学学士。现任江西省人民政府副省长、党组成员。,https://baike.baidu.com/item/%E8%83%A1%E5%BC%BA/3638448
1,苏翼凯,苏翼凯，男，上海交通大学电子信息与电气工程学院责任教授、博士生导师、国家杰出青年科学基金获得者、长江学者特聘教授。,https://baike.baidu.com/item/%E8%8B%8F%E7%BF%BC%E5%87%AF/2550112
1,林文雄,林文雄，男，1957年5月生，现任福建农林大学党委常委、副校长、教授、博士生导师。长期从事水稻生理与分子生态学、作物化感作用与生态农业等方面的教学和科研工作，近五年先后主持国家和部省级科研课题20多项，在国内外发表学术论著200多篇（部），获农业部丰收计划一等奖1项、福建省科技进步二等奖4项、三等奖2项；获省级教学成果一等奖2项；先后指导博硕士研究生100多人、博士后9人。2017.9.2.不再担任福建农林大学副校长职务。,https://baike.baidu.com/item/%E6%9E%97%E6%96%87%E9%9B%84/59694
1,崔一平,崔一平，东南大学教授、东南大学先进光子学中心主任，国家杰出青年科学基金获得者，美国光学学会会士（OSA Fellow）。现担任国际照明委员会（CIE）副主席，中国照明学会副理事长，江苏省光学学会理事长，《Journal of Nonlinear Optical Physics and Materials》和《光学学报》编委。       他长期从事光电子学方面的研究工作，在有机聚合物和纳米光子材料的光学非线性与发光特性研究、尤其是在光折变和多光子吸收机制研究方面作出了突出贡献。近几年来他又在纳米生物光子探测技术、光通信技术与集成光子技术、以及光传感技术方面取得了一系列重要成果。在JACS，Opt. Lett.，Phys. Rev.B，Chem. Mater., Biosensor and Bioelectr., Appl. Phys. Lett.等国内外核心刊物上发表SCI论文250余篇，被国外同行引用近2000篇次。他拥有授权专利20项，参加编著了《强光光学及其应用》和《Physics of Nonlinear Optics》两本专著以及全国研究生统编教材《激光物理》。,https://baike.baidu.com/item/%E5%B4%94%E4%B8%80%E5%B9%B3/5739048
1,江风益,,https://baike.baidu.com//item/%E6%B1%9F%E9%A3%8E%E7%9B%8A
1,祝宁华,祝宁华，男，研究员，博士生导师，98年度国家杰出青年基金获得者。1990年毕业于电子科技大学，获工学博士学位。现任中国科学院半导体研究所副所长，国家重点专项“光电子与微电子器件及集成”专家组组长。长期致力于光电子器件研发。2018年获颁第12届光华工程科技奖。,https://baike.baidu.com/item/%E7%A5%9D%E5%AE%81%E5%8D%8E/1742207
1,教授级,教授级高工，即教授级高级工程师。 高级工程师是中国专业技术职称工程类中的高级职称（职称改革后称为专业技术职务任职资格），也是工程师任职资格职称里的最高职称，而教授级高级工程师是高级工程师任职资格职称里的最高级别之一。,https://baike.baidu.com/item/%E6%95%99%E6%8E%88%E7%BA%A7%E9%AB%98%E7%BA%A7%E5%B7%A5%E7%A8%8B%E5%B8%88/6642240
1,华中科技大学,华中科技大学（Huazhong University of Science and Technology）位于湖北省武汉市，是中华人民共和国教育部直属的综合性研究型全国重点大学、国家首批世界一流大学建设高校（A类），入选"985工程"、"211工程"、"强基计划"、"111计划"、卓越工程师教育培养计划、卓越医生教育培养计划、湖北省2011计划、国家大学生创新性实验计划、国家级大学生创新创业训练计划、国家建设高水平大学公派研究生项目、国家级新工科研究与实践项目、基础学科拔尖学生培养计划2.0，是学位授权自主审核单位、全国深化创新创业教育改革示范高校、一流网络安全学院建设示范项目高校、中国政府奖学金来华留学生接收院校、教育部来华留学示范基地，为中欧工程教育平台成员和医学“双一流”建设联盟、中国人工智能教育联席会理事单位。[1-7]学校前身是1952年创办的华中工学院、1907年建立的上海德文医学堂和1898年建立的湖北工艺学堂。历经传承与发展，2000年由原华中理工大学、同济医科大学、武汉城市建设学院合并成立华中科技大学。截至2019年11月，华中科技大学校园占地7000余亩，绿化覆盖率72%；有专任教师3400余人，其中教授1200余人，副教授1400余人；教师中有院士18人，国家杰出青年科学基金获得者73人；设有103个本科专业，45个硕士学位授权一级学科，41个博士学位授权一级学科，39个博士后科研流动站；有“双一流”建设学科8个，一级学科国家重点学科7个，二级学科国家重点学科15个，国家重点（培育）学科7个。,https://baike.baidu.com/item/%E5%8D%8E%E4%B8%AD%E7%A7%91%E6%8A%80%E5%A4%A7%E5%AD%A6/160107
1,清华大学,清华大学（Tsinghua University），简称“清华”，是中华人民共和国教育部直属的全国重点大学，中央直管高校，位列国家“双一流”A类、“985工程”、“211工程”，入选“2011计划”、“珠峰计划”、“强基计划”、“111计划”，为九校联盟（C9）、松联盟、中国大学校长联谊会、亚洲大学联盟、环太平洋大学联盟、清华—剑桥—MIT低碳大学联盟成员、中国高层次人才培养和科学技术研究的基地，被誉为“红色工程师的摇篮”。[1-3]学校前身清华学堂始建于1911年，校名“清华”源于校址“清华园”地名，是清政府设立的留美预备学校，其建校的资金源于1908年美国退还的部分庚子赔款。1912年更名为清华学校。1928年更名为国立清华大学。1937年抗日战争全面爆发后南迁长沙，与国立北京大学、私立南开大学组建国立长沙临时大学，1938年迁至昆明改名为国立西南联合大学。1946年迁回清华园。1949年中华人民共和国成立，清华大学进入新的发展阶段。1952年全国高等学校院系调整后成为多科性工业大学。1978年以来逐步恢复和发展为综合性的研究型大学。水木清华，钟灵毓秀，清华大学秉持“自强不息、厚德载物”的校训和“行胜于言”的校风，坚持“中西融汇、古今贯通、文理渗透”的办学风格和“又红又专、全面发展”的培养特色，弘扬“爱国奉献、追求卓越”传统和“人文日新”精神。恰如清华园工字厅内对联所书——“槛外山光，历春夏秋冬、万千变幻，都非凡境；窗中云影，任东西南北、去来澹荡，洵是仙居”。,https://baike.baidu.com/item/%E6%B8%85%E5%8D%8E%E5%A4%A7%E5%AD%A6/111764
1,华为技术有限公司,华为技术有限公司，成立于1987年，总部位于广东省深圳市龙岗区。华为是全球领先的信息与通信技术（ICT）解决方案供应商，专注于ICT领域，坚持稳健经营、持续创新、开放合作，在电信运营商、企业、终端和云计算等领域构筑了端到端的解决方案优势，为运营商客户、企业客户和消费者提供有竞争力的ICT解决方案、产品和服务，并致力于实现未来信息社会、构建更美好的全联接世界。2013年，华为首超全球第一大电信设备商爱立信，排名《财富》世界500强第315位。华为的产品和解决方案已经应用于全球170多个国家，服务全球运营商50强中的45家及全球1/3的人口。2017年6月6日，《2017年BrandZ最具价值全球品牌100强》公布，华为名列第49位。2019年7月22日美国《财富》杂志发布了最新一期的世界500强名单 ，华为排名第61位。[2-3]2018年《中国500最具价值品牌》华为居第六位。12月18日，世界品牌实验室编制的《2018世界品牌500强》揭晓，华为排名第58位。2018年2月，沃达丰和华为完成首次5G通话测试；2019年8月9日，华为正式发布鸿蒙系统。2019年8月22日，2019中国民营企业500强发布，华为投资控股有限公司以7212亿营收排名第一。2019年12月15日，华为获得了首批“2019中国品牌强国盛典年度荣耀品牌的殊荣”。[9-10]2020年8月10日，《财富》公布世界500强榜（企业名单），华为排在第49位。2020中国民营企业500强第一名。,https://baike.baidu.com/item/%E5%8D%8E%E4%B8%BA%E6%8A%80%E6%9C%AF%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/6455903
