page_id,keyword,annotation,url
17,检测,用指定的方法检验测试某种物体（气体、液体、固体）指定的技术性能指标。适用于各种行业范畴的质量评定，如：土木建筑工程、水利、食品、化学、环境、机械、机器等等。,https://baike.baidu.com/item/%E6%A3%80%E6%B5%8B/1200916
16,标定,标定，主要是指使用标准的计量仪器对所使用仪器的准确度（精度）进行检测是否符合标准，一般大多用于精密度较高的仪器。标定也可以认为是校准。因此，也可以认为标定包含以上两方面的意思。,https://baike.baidu.com/item/%E6%A0%87%E5%AE%9A/304113
15,驱动,驱动，计算机软件术语，是指驱动计算机里软件的程序。驱动程序全称设备驱动程序，是添加到操作系统中的特殊程序，其中包含有关硬件设备的信息。此信息能够使计算机与相应的设备进行通信。驱动程序是硬件厂商根据操作系统编写的配置文件，可以说没有驱动程序，计算机中的硬件就无法工作。,https://baike.baidu.com/item/%E9%A9%B1%E5%8A%A8/2765136
15,轮毂,轮毂是轮胎内廓轮钢通过立柱连接的轮芯旋转部分，即支撑轮胎的中心装在轴上的金属部件。又叫轮圈、钢圈、轱辘、胎铃。轮毂根据直径、宽度、成型方式、材料不同种类繁多。,https://baike.baidu.com/item/%E8%BD%AE%E6%AF%82/9428673
14,测量,测量是按照某种规律，用数据来描述观察到的现象，即对事物作出量化描述。测量是对非量化实物的量化过程。在机械工程里面，测量指将被测量与具有计量单位的标准量在数值上进行比较，从而确定二者比值的实验认识过程。,https://baike.baidu.com/item/%E6%B5%8B%E9%87%8F/398072
13,测量,测量是按照某种规律，用数据来描述观察到的现象，即对事物作出量化描述。测量是对非量化实物的量化过程。在机械工程里面，测量指将被测量与具有计量单位的标准量在数值上进行比较，从而确定二者比值的实验认识过程。,https://baike.baidu.com/item/%E6%B5%8B%E9%87%8F/398072
14,分析,分析（英语：Analysis）是在头脑中把事物或对象由整体分解成各个部分或属性。尽管“分析”作为一个正式的概念在近年来才逐步建立起来，这一技巧自亚里士多德（公元前384年至322年）就已经应用在了数学、逻辑学等多个领域。分析可以指：金融分析；系统分析；分析化学；分析力学；结构分析（土木工程）；模流分析（塑胶）；频率分析（密码学）；时间序列分析（统计学）；数学分析（数学）；实分析；复分析；调和分析；泛函分析维数分析；语意分析（语言学）；语音分析（语言学）；哲学分析。,https://baike.baidu.com/item/%E5%88%86%E6%9E%90/4327108
13,在线,在线，通常指电脑处在网络连接状态。,https://baike.baidu.com/item/%E5%9C%A8%E7%BA%BF/3099560
12,芯片,集成电路英语：integrated circuit，缩写作 IC；或称微电路（microcircuit）、微芯片（microchip）、晶片/芯片（chip）在电子学中是一种将电路（主要包括半导体设备，也包括被动组件等）小型化的方式，并时常制造在半导体晶圆表面上。,https://baike.baidu.com/item/%E8%8A%AF%E7%89%87/32249
17,芯片,集成电路英语：integrated circuit，缩写作 IC；或称微电路（microcircuit）、微芯片（microchip）、晶片/芯片（chip）在电子学中是一种将电路（主要包括半导体设备，也包括被动组件等）小型化的方式，并时常制造在半导体晶圆表面上。,https://baike.baidu.com/item/%E8%8A%AF%E7%89%87/32249
10,清洁,清洁是一个汉语词汇，拼音是qīng jié，意思是清白，洁净无尘。此外，还有其它解释，如清廉、廉洁，清除，清楚、明白以及犹清爽。,https://baike.baidu.com/item/%E6%B8%85%E6%B4%81/82548
16,仪表,仪表，指准则、模范；容貌举止；测量指示的器具。见南朝梁沉约《豫章文宪王碑》：“公德惟民望，位冠朝首，仪表瑰雄，风神秀杰。”,https://baike.baidu.com/item/%E4%BB%AA%E8%A1%A8/9732967
