page_id,keyword,annotation,url
26,城镇,城镇，通常指的是以非农业人口为主，具有一定规模工商业的居民点。城镇化是人口持续向城镇集聚的过程，也是人类文明进步和经济社会发展的大趋势。当前，世界城镇化水平已超过50%，有一半以上的人口居住在城市。,https://baike.baidu.com/item/%E5%9F%8E%E9%95%87/72733
30,机器人,机器人（Robot）是一种能够半自主或全自主工作的智能机器。历史上最早的机器人见于隋炀帝命工匠按照柳抃形象所营造的木偶机器人，施有机关，有坐、起、拜、伏等能力。机器人具有感知、决策、执行等基本特征，可以辅助甚至替代人类完成危险、繁重、复杂的工作，提高工作效率与质量，服务人类生活，扩大或延伸人的活动及能力范围。,https://baike.baidu.com/item/%E6%9C%BA%E5%99%A8%E4%BA%BA/888
29,方舱,方舱是指用各种坚固材料有机的组合在一起，其容积是固定或可扩展的具有防护性能，可供运载的厢式工作间。方舱一词源于美军的军事术语。,https://baike.baidu.com/item/%E6%96%B9%E8%88%B1/3795649
28,技术,技术是解决问题的方法及方法原理，是指人们利用现有事物形成新事物，或是改变现有事物功能、性能的方法。技术应具备明确的使用范围和被其它人认知的形式和载体，如原材料（输入）、产成品（输出）、工艺、工具、设备、设施、标准、规范、指标、计量方法等。技术与科学相比，技术更强调实用，而科学更强调研究；技术与艺术相比，技术更强调功能，艺术更强调表达。,https://baike.baidu.com/item/%E6%8A%80%E6%9C%AF/832247
32,救援,救援是指个人或人们，在遭遇灾难或其他非常情况（含自然灾害、意外事故、突发危险事件等）时，获得实施解救行动的整个过程；而救援事业是指能够做长久完善地准备和随时随地能够及时实施解救行动的事务；而救援产业，则是一个以完善的体系、系统或链条为平台、以自身的系统化规模化模式化等为基础、能够长久完善地准备、随时随地实施解救行动并能够最终实现各方应有受益和收益的实业经济。市面上的第三方救援机构，将救援、医疗安置、保险理赔等服务内容进行了整合，形成了更为科学、高效、系统的以人为本的无缝隙服务模式，将“灾后救援”与“援后处理”进行了合理的补充和完善。,https://baike.baidu.com/item/%E6%95%91%E6%8F%B4/84884
23,储罐,储罐用以存放酸碱、醇、气体、液态等提炼的化学物质。储罐广泛在华北地区，根据材质不同大体上有：聚乙烯储罐、聚丙烯储罐、玻璃钢储罐、陶瓷储罐、橡胶储罐、不锈钢储罐等。就储罐的性价比来讲，现在以钢衬聚乙烯储罐最为优越，其具有优异的耐腐蚀性能、强度高、寿命长等，外观可以制造成立式、卧式、运输、搅拌等多个品种 。,https://baike.baidu.com/item/%E5%82%A8%E7%BD%90/3055788
22,特种设备,特种设备是指涉及生命安全、危险性较大的锅炉、压力容器（含气瓶，下同）、压力管道、电梯、起重机械、客运索道、大型游乐设施和场（厂）内专用机动车辆。其中锅炉、压力容器（含气瓶）、压力管道为承压类特种设备；电梯、起重机械、客运索道、大型游乐设施为机电类特种设备。2013年6月29日，十二届全国人大常委会通过《中华人民共和国特种设备安全法》。2014年11月，国家质检总局公布了新修订的《特种设备目录》。,https://baike.baidu.com/item/%E7%89%B9%E7%A7%8D%E8%AE%BE%E5%A4%87/5108060
31,火灾,火灾（huǒzāi）是指在时间或空间上失去控制的燃烧所造成的灾害。新的标准中，将火灾定义为在时间或空间上失去控制的燃烧。在各种灾害中，火灾是最经常、最普遍地威胁公众安全和社会发展的主要灾害之一。人类能够对火进行利用和控制，是文明进步的一个重要标志。所以说人类使用火的历史与同火灾作斗争的历史是相伴相生的，人们在用火的同时，不断总结火灾发生的规律，尽可能地减少火灾及其对人类造成的危害。在遇到火灾时人们需要安全、尽快的逃生。,https://baike.baidu.com/item/%E7%81%AB%E7%81%BE/1382058
27,社区,社区是若干社会群体或社会组织聚集在某一个领域里所形成的一个生活上相互关联的大集体，是社会有机体最基本的内容，是宏观社会的缩影。社会学家给社区下出的定义有140多种。社区是具有某种互动关系的和共同文化维系力的，在一定领域内相互关联的人群形成的共同体及其活动区域。尽管社会学家对社区下的定义各不相同，在构成社区的基本要素上认识还是基本一致的，普遍认为一个社区应该包括一定数量的人口、一定范围的地域、一定规模的设施、一定特征的文化、一定类型的组织。社区就是这样一个“聚居在一定地域范围内的人们所组成的社会生活共同体”。社区的特点：有一定的地理区域；有一定数量的人口；居民之间有共同的意识和利益；有着较密切的社会交往。,https://baike.baidu.com/item/%E7%A4%BE%E5%8C%BA/904140
25,桥梁,桥梁，一般指架设在江河湖海上，使车辆行人等能顺利通行的构筑物。为适应现代高速发展的交通行业，桥梁亦引申为跨越山涧、不良地质或满足其他交通需要而架设的使通行更加便捷的建筑物。 桥梁一般由上部构造、下部结构、支座和附属构造物组成，上部结构又称桥跨结构，是跨越障碍的主要结构；下部结构包括桥台、桥墩和基础；支座为桥跨结构与桥墩或桥台的支承处所设置的传力装置；附属构造物则指桥头搭板、锥形护坡、护岸、导流工程等。,https://baike.baidu.com/item/%E6%A1%A5%E6%A2%81/2054921
17,管廊,管廊，即管道的走廊。化工及其相关类工厂中很多管道被集中在一起，沿着装置或厂房外布置，一般是在空中，用支架撑起，形成和走廊类似的样子。也有少数管廊位于地下。,https://baike.baidu.com/item/%E7%AE%A1%E5%BB%8A/6585146
24,储备库,,https://baike.baidu.com//item/%E5%82%A8%E5%A4%87%E4%BB%93%E5%BA%93
16,应急,应急（yìngjí），应对突然发生的需要紧急处理的事件。,https://baike.baidu.com/item/%E5%BA%94%E6%80%A5/10328153
15,危险品,危险品（hazardous material ），易燃、易爆、有强烈腐蚀性、有毒和放射性等物品的总称。如汽油、炸药、强酸、强碱、苯、萘、赛璐珞、过氧化物等。在生产、运输、储存、销毁时应该科学妥善处理。,https://baike.baidu.com/item/%E5%8D%B1%E9%99%A9%E5%93%81/581160
19,工程施工,工程施工是建筑安装企业归集核算工程成本的会计核算专用科目，是根据建设工程设计文件的要求，对建设工程进行新建、扩建、改建的活动。工程施工下设人工费、材料费、机械费、其他直接费等四个明细。,https://baike.baidu.com/item/%E5%B7%A5%E7%A8%8B%E6%96%BD%E5%B7%A5/2029952
18,装备,装备指配备的一些设备，引申指游戏中的非消耗性道具：衣服，腰带，首饰及武器等。,https://baike.baidu.com/item/%E8%A3%85%E5%A4%87/3504082
14,尾矿库,尾矿库是指筑坝拦截谷口或围地构成的，用以堆存金属或非金属矿山进行矿石选别后排出尾矿或其他工业废渣的场所。尾矿库是一个具有高势能的人造泥石流危险源，存在溃坝危险，一旦失事，容易造成重特大事故。,https://baike.baidu.com/item/%E5%B0%BE%E7%9F%BF%E5%BA%93/7219790
12,矿山,矿山指有一定开采境界的采掘矿石的独立生产经营单位。矿山主要包括一个或多个采矿车间（或称坑口、矿井、露天采场等）和一些辅助车间，大部分矿山还包括选矿场（洗煤厂）。,https://baike.baidu.com/item/%E7%9F%BF%E5%B1%B1/2216981
13,尾矿库,尾矿库是指筑坝拦截谷口或围地构成的，用以堆存金属或非金属矿山进行矿石选别后排出尾矿或其他工业废渣的场所。尾矿库是一个具有高势能的人造泥石流危险源，存在溃坝危险，一旦失事，容易造成重特大事故。,https://baike.baidu.com/item/%E5%B0%BE%E7%9F%BF%E5%BA%93/7219790
20,地铁,地铁是在城市中修建的快速、大运量、用电力牵引的轨道交通。列车在全封闭的线路上运行，位于中心城区的线路基本设在地下隧道内，中心城区以外的线路一般设在高架桥或地面上，英语为metro（underground railway、subway）。地铁是涵盖了城市地区各种地下与地上的路权专有、高密度、高运量的城市轨道交通系统（Metro），中国台湾地铁称之为“捷运”（Rapid transit）。除了地下铁以外，也包括高架铁路（Elevated railway）或路面上铺设的铁路。因此，地铁是路权专有的、无平交，这也是地铁区别于轻轨交通系统的根本性的标志。世界上最早的（也是第一条）地铁是英国伦敦的大都会地铁，始建于1863年。,https://baike.baidu.com/item/%E5%9C%B0%E9%93%81/21266
21,移动式,移动式空调是一种突破传统设计理念，体形娇小、高能效比、低噪音、无需安装，可随意放置在不同房屋内的移动式空调。诞生时间为1986年。,https://baike.baidu.com/item/%E7%A7%BB%E5%8A%A8%E5%BC%8F%E7%A9%BA%E8%B0%83/5241881
9,探测,探测，指探查某物；确定物体、辐射、化学化合物、信号等是否存在。,https://baike.baidu.com/item/%E6%8E%A2%E6%B5%8B/322953
11,工作面,工作面是指：①直接开采矿物或岩石的工作地点，随着采掘进度而移动。②零件上进行机械加工的部位。,https://baike.baidu.com/item/%E5%B7%A5%E4%BD%9C%E9%9D%A2/7692581
10,技术,技术是解决问题的方法及方法原理，是指人们利用现有事物形成新事物，或是改变现有事物功能、性能的方法。技术应具备明确的使用范围和被其它人认知的形式和载体，如原材料（输入）、产成品（输出）、工艺、工具、设备、设施、标准、规范、指标、计量方法等。技术与科学相比，技术更强调实用，而科学更强调研究；技术与艺术相比，技术更强调功能，艺术更强调表达。,https://baike.baidu.com/item/%E6%8A%80%E6%9C%AF/832247
