page_id,keyword,annotation,url
9,技术,技术是解决问题的方法及方法原理，是指人们利用现有事物形成新事物，或是改变现有事物功能、性能的方法。技术应具备明确的使用范围和被其它人认知的形式和载体，如原材料（输入）、产成品（输出）、工艺、工具、设备、设施、标准、规范、指标、计量方法等。技术与科学相比，技术更强调实用，而科学更强调研究；技术与艺术相比，技术更强调功能，艺术更强调表达。,https://baike.baidu.com/item/%E6%8A%80%E6%9C%AF/832247
10,污染源,污染源是指造成环境污染的污染物发生源，通常指向环境排放有害物质或对环境产生有害影响的场所、设备、装置或人体。任何以不适当的浓度，数量，速度，形态和途径进入环境系统并对环境产生污染或破坏的物质或能量，统称为污染物。可分为天然污染源、大气污染源、人为污染源、工业污染源等。对于污染源排放的监测有两种方法，一是监督性监测，二是研究性监测。治理大气污染源的方法有电站锅炉烟气排放控制、工业锅炉及炉窑烟气排放控制、典型有毒有害工业废气净化、机动车尾气排放控制等。,https://baike.baidu.com/item/%E6%B1%A1%E6%9F%93%E6%BA%90/8555911
9,成渝,成渝地区指四川成都和重庆及之间的地区，但这是一个模糊的概念。该地区面积约20万平方公里，人口8724万，分别占中国西南地区的6.6%和35%。成渝地区是中国西部经济最发达的地区，也是中国重要的城市带之一。2018年11月，《中共中央 国务院关于建立更加有效的区域协调发展新机制的意见》明确要求以成都、重庆为中心，引领成渝城市群发展，带动相关板块融合发展。,https://baike.baidu.com/item/%E6%88%90%E6%B8%9D%E5%9C%B0%E5%8C%BA/4465796
10,园区,园区是一个汉语词汇，读音为yuán qū，是指政府集中统一规划指定区域，区域内专门设置某类特定行业、形态的企业、公司等进行统一管理，典型的如工业园区，自贸园区，产业园区，动漫园区。,https://baike.baidu.com/item/%E5%9B%AD%E5%8C%BA/10349467
6,区域,区域是一个汉语词语，读音为qū yù，是指土地的界划；地区区域自治。指国家管辖范围以外的海床和洋底及其底土。语出《周礼·地官·序官》“廛人” 汉郑玄注：“廛，民居区域之称。”、陈康祺《郎潜纪闻》卷三：“咨其风土，考其区域。”等。,https://baike.baidu.com/item/%E5%8C%BA%E5%9F%9F/6787979
9,大气污染,大气污染是由于人类活动或自然过程引起某些物质进入大气中，呈现出足够的浓度，达到足够的时间，并因此危害了人体的舒适、健康和福利或环境的现象。大气污染物由人为源或者天然源进入大气（输入），参与大气的循环过程，经过一定的滞留时间之后，又通过大气中的化学反应、生物活动和物理沉降从大气中去除（输出）。如果输出的速率小于输入的速率，就会在大气中相对集聚，造成大气中某种物质的浓度升高。当浓度升高到一定程度时，就会直接或间接地对人、生物或材料等造成急性、慢性危害，大气就被污染了。,https://baike.baidu.com/item/%E5%A4%A7%E6%B0%94%E6%B1%A1%E6%9F%93/778495
5,资源化,资源化，是指将废物直接作为原料进行利用或者对废物进行再生利用。资源化是循环经济的重要内容。,https://baike.baidu.com/item/%E8%B5%84%E6%BA%90%E5%8C%96/1885036
8,臭氧,臭氧是氧气的一种同素异形体，化学式是O3，式量47.998，有鱼腥气味的淡蓝色气体。臭氧有强氧化性，是比氧气更强的氧化剂，可在较低温度下发生氧化反应，如能将银氧化成过氧化银，将硫化铅氧化成硫酸铅、跟碘化钾反应生成碘。松节油、煤气等在臭氧中能自燃。有水存在时臭氧是一种强力漂白剂。跟不饱和有机化合物在低温下也容易生成臭氧化物。用作强氧化剂，漂白剂、皮毛脱臭剂、空气净化剂，消毒杀菌剂，饮用水的消毒脱臭。在化工生产中可用臭氧代替许多催化氧化或高温氧化，简化生产工艺并提高生产率。液态臭氧还可用作火箭燃料的氧化剂。存在于大气中，靠近地球表面浓度为0.001～0.03ppm，是由大气中氧气吸收了太阳的波长小于185nm紫外线后生成的，此臭氧层可吸收太阳光中对人体有害的短波（30nm以下）光线，防止这种短波光线射到地面，使生物免受紫外线的伤害。,https://baike.baidu.com/item/%E8%87%AD%E6%B0%A7/366494
5,示范,示范，读音为shì fàn，汉语词语，意思是做出榜样或典范,供人们学习；起示范作用；把事物摆出来或指出来使人知道。,https://baike.baidu.com/item/%E7%A4%BA%E8%8C%83/363731
8,PM2.5,大气污染物因子有很多种，当前我国环境保护部门监测环境大气污染物时采用的是PM10这个指标。其定义是监测环境空气中尘埃或飘尘的空气当量直径为10μm的尘埃或飘尘在环境空气中的浓度。由此，我们就知道了PM2.5，就是指：直径小于或等于2.5μm的尘埃或飘尘在环境空气中的浓度。,https://baike.baidu.com/item/PM2.5%E5%80%BC/7053900
