page_id,keyword,annotation,url
10,中蒙,中蒙，汉语词汇，拼音是zhōng méng，解释为中途昏暗。,https://baike.baidu.com/item/%E4%B8%AD%E8%92%99/9274975
11,印度尼西亚政府,印度尼西亚共和国（英语：Republic of Indonesia），简称印尼（Indonesia）。是东南亚国家，首都为雅加达。与巴布亚新几内亚、东帝汶和马来西亚等国家相接。由约17508个岛屿组成，是全世界最大的群岛国家，疆域横跨亚洲及大洋洲，也是多火山多地震的国家。面积较大的岛屿有加里曼丹岛、苏门答腊岛、伊里安岛、苏拉威西岛和爪哇岛。印尼人口近2.62亿（2019年），仅次于中国、印度、美国，居世界第四。印尼华侨华人总数有近1000万，约占印尼总人口的5%。13—14世纪在爪哇形成强大帝国、16世纪末沦为荷兰殖民地。1942年被日本占领。1945年独立，1950年8月成立共和国。印尼是东南亚国家联盟创立国之一，也是东南亚最大经济体及20国集团成员国，航空航天技术较强。石油资源可实现净出口，印尼曾是石油输出国组织成员国（1962—2009年），近期正在重新加入该组织。,https://baike.baidu.com/item/%E5%8D%B0%E5%BA%A6%E5%B0%BC%E8%A5%BF%E4%BA%9A/129972
9,中希,中希集团（longsun）有限公司，创建于1986年，是一家专业生产、销售、研发为一体的电工合金行业龙头企业。公司在制造贵/廉金属复合带，电触头材料，精密冲制触头元件方面拥有完善的工艺技术，广泛应用于高低压电器、军工、电子、家电等领域。产品配套服务于施耐德、ABB、LG、西门子、正泰、德力西、人民、金龙机电、泰科、厦门宏发等世界知名电气公司。,https://baike.baidu.com/item/%E4%B8%AD%E5%B8%8C%E9%9B%86%E5%9B%A2%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/6494813
13,Agent,agent指能自主活动的软件或者硬件实体。,https://baike.baidu.com/item/agent/19703569
13,HPC,,https://baike.baidu.com//item/HPC/16007677
12,合作项目,合作投资：是针对一些未进入或新进入市场的、人们会有一个观察潜伏期的产品或项目。如果单个人来做的话，会存在市场不接受而全面亏损的风险和市场接受但无法快速扩展的窘迫。合作投资是一开始就寻找多人对此产品或项目有共同的认同度的人在同一地区一起做市场尝试。如果成功了则大家一起把市场快速做大，以抵制跟进者的竞争。如果失败，则风险因为由多人分担而到每个人身上的损失就比较小。,https://baike.baidu.com/item/%E5%90%88%E4%BD%9C%E6%8A%95%E8%B5%84/1327691
12,金砖,金砖又称御窑金砖，是中国传统窑砖烧制业中的珍品，古时专供宫殿等重要建筑使用的一种高质量的铺地方砖。因其质地坚细，敲之若金属般铿然有声，故名金砖。用金砖来形容某个人表示那个人很有钱。明清以来受到历代帝王的青睐，成为皇宫建筑的专用产品。明代永乐年间，明成祖朱棣迁都北京，大兴土木建造紫禁城。经苏州香山帮工匠的推荐，陆慕砖窑被工部看中，决定“始砖于苏州，责其役于长洲窑户六十三家”，由于质量优良，博得了永乐皇帝的称赞，赐名窑场为御窑。,https://baike.baidu.com/item/%E9%87%91%E7%A0%96/3179021
8,4.0,所谓工业4.0（Industry4.0），是基于工业发展的不同阶段作出的划分。按照目前的共识，工业1.0是蒸汽机时代，工业2.0是电气化时代，工业3.0是信息化时代，工业4.0则是利用信息化技术促进产业变革的时代，也就是智能化时代。这个概念最早出现在德国，2013年的汉诺威工业博览会上正式推出，其核心目的是为了提高德国工业的竞争力，在新一轮工业革命中占领先机。随后由德国政府列入《德国2020高技术战略》中所提出的十大未来项目之一。该项目由德国联邦教育局及研究部和联邦经济技术部联合资助，投资预计达2亿欧元。旨在提升制造业的智能化水平，建立具有适应性、资源效率及基因工程学的智慧工厂，在商业流程及价值流程中整合客户及商业伙伴。其技术基础是网络实体系统及物联网。德国所谓的工业4.0是指利用物联信息系统（Cyber—Physical System简称CPS）将生产中的供应，制造，销售信息数据化、智慧化，最后达到快速，有效，个人化的产品供应。“中国制造2025”与德国“工业4.0”的合作对接渊源已久。2015年5月，国务院正式印发《中国制造2025》，部署全面推进实施制造强国战略。工业4.0已经进入中德合作新时代，中德双方签署的《中德合作行动纲要》中，有关工业4.0合作的内容共有4条，第一条就明确提出工业生产的数字化就是“工业4.0”对于未来中德经济发展具有重大意义。双方认为，两国政府应为企业参与该进程提供政策支持。,https://baike.baidu.com/item/%E5%B7%A5%E4%B8%9A4.0/2120694
8,智能,智能，是智慧和能力的总称，中国古代思想家一般把智与能看做是两个相对独立的概念。也有不少思想家把二者结合起来作为一个整体看待。,https://baike.baidu.com/item/%E6%99%BA%E8%83%BD/66637
9,合作项目,合作投资：是针对一些未进入或新进入市场的、人们会有一个观察潜伏期的产品或项目。如果单个人来做的话，会存在市场不接受而全面亏损的风险和市场接受但无法快速扩展的窘迫。合作投资是一开始就寻找多人对此产品或项目有共同的认同度的人在同一地区一起做市场尝试。如果成功了则大家一起把市场快速做大，以抵制跟进者的竞争。如果失败，则风险因为由多人分担而到每个人身上的损失就比较小。,https://baike.baidu.com/item/%E5%90%88%E4%BD%9C%E6%8A%95%E8%B5%84/1327691
7,合作项目,合作投资：是针对一些未进入或新进入市场的、人们会有一个观察潜伏期的产品或项目。如果单个人来做的话，会存在市场不接受而全面亏损的风险和市场接受但无法快速扩展的窘迫。合作投资是一开始就寻找多人对此产品或项目有共同的认同度的人在同一地区一起做市场尝试。如果成功了则大家一起把市场快速做大，以抵制跟进者的竞争。如果失败，则风险因为由多人分担而到每个人身上的损失就比较小。,https://baike.baidu.com/item/%E5%90%88%E4%BD%9C%E6%8A%95%E8%B5%84/1327691
11,合作项目,合作投资：是针对一些未进入或新进入市场的、人们会有一个观察潜伏期的产品或项目。如果单个人来做的话，会存在市场不接受而全面亏损的风险和市场接受但无法快速扩展的窘迫。合作投资是一开始就寻找多人对此产品或项目有共同的认同度的人在同一地区一起做市场尝试。如果成功了则大家一起把市场快速做大，以抵制跟进者的竞争。如果失败，则风险因为由多人分担而到每个人身上的损失就比较小。,https://baike.baidu.com/item/%E5%90%88%E4%BD%9C%E6%8A%95%E8%B5%84/1327691
10,合作项目,合作投资：是针对一些未进入或新进入市场的、人们会有一个观察潜伏期的产品或项目。如果单个人来做的话，会存在市场不接受而全面亏损的风险和市场接受但无法快速扩展的窘迫。合作投资是一开始就寻找多人对此产品或项目有共同的认同度的人在同一地区一起做市场尝试。如果成功了则大家一起把市场快速做大，以抵制跟进者的竞争。如果失败，则风险因为由多人分担而到每个人身上的损失就比较小。,https://baike.baidu.com/item/%E5%90%88%E4%BD%9C%E6%8A%95%E8%B5%84/1327691
5,加方,加方乡位于马山县东部大石山区，东与忻城县北更乡接壤，南与古零镇、上林县镇圩瑶族乡毗邻，西与古寨瑶族乡相连，北与里当瑶族乡、金钗镇相接。乡人民政府驻加方社区，距马山县城42千米。行政区域面积204.69平方千米。境内公路总长297千米，三级、四级公路长度分别是32千米、265千米。地理环境属典型的喀斯特地形地貌。地势为东北高，西南低，石山面积173平方千米，占总面积84.60%。属亚热带季风气候，日照充足，气候温和，夏长冬短。年最低气温11.40℃，最高气温27.70℃，年平均气温20.70℃。,https://baike.baidu.com/item/%E5%8A%A0%E6%96%B9%E4%B9%A1/4876610
6,合作项目,合作投资：是针对一些未进入或新进入市场的、人们会有一个观察潜伏期的产品或项目。如果单个人来做的话，会存在市场不接受而全面亏损的风险和市场接受但无法快速扩展的窘迫。合作投资是一开始就寻找多人对此产品或项目有共同的认同度的人在同一地区一起做市场尝试。如果成功了则大家一起把市场快速做大，以抵制跟进者的竞争。如果失败，则风险因为由多人分担而到每个人身上的损失就比较小。,https://baike.baidu.com/item/%E5%90%88%E4%BD%9C%E6%8A%95%E8%B5%84/1327691
5,安大略省,安大略省是加拿大的十个省之一，为加拿大的一级行政单位，面积106.8万平方公里。安大略省南部与美国的明尼苏达、密歇根、俄亥俄、宾夕法尼亚和纽约诸州为界，水域自西面的森林湖直到东部康沃尔的圣劳伦斯河，其中包括五大湖中的苏必利尔湖、休伦湖、伊利湖和安大略湖。截至2010年7月1日，安大略省拥有人口1321.1万，居加拿大人口第一位，其中65%左右为英国后裔，5%为法国后裔，该省原住民为北美印第安人，占1.5%。2013年，安大略省实现国民生产总值（GDP）6957.05亿加元，人均国民生产总值4.64万加元。2017年10月27日，安大略省将每年12月13日定为“南京大屠杀遇难者纪念日”，使得加拿大成为西方第一个设立“南京大屠杀遇难者纪念日”的国家。,https://baike.baidu.com/item/%E5%AE%89%E5%A4%A7%E7%95%A5%E7%9C%81/1605870
4,项目,项目是人们通过努力，运用新的方法，将人力的、材料的和财务的资源组织起来，在给定的费用和时间约束规范内，完成一项独立的、一次性的工作任务，以期达到由数量和质量指标所限定的目标。叶圣陶《倪焕之》二五：“教育这个项目当然是不容轻易忽略的。” 洪深 《戏剧导演的初步知识》上篇二：“它们的式样、大小、制造的材料、使用的方法等等，项目繁多。” 秦牧 《艺海拾贝·核心》：“生动的语言和丰富的词汇，看来该是技巧性很强的一个项目了。”项目参数包括项目范围、质量、成本、时间、资源。美国项目管理协会（project Management Institute，PMI)在其出版的《项目管理知识体系指南》（Project Management Body of Knowledge，PMBOK）中为项目所做的定义是：项目是为创造独特的产品、服务或成果而进行的临时性工作。以下活动都可以称为一个项目：1、开发一项新产品；2、计划举行一项大型活动（如策划组织婚礼、大型国际会议等）；3、策划一次自驾游旅游；4、ERP的咨询、开发、实施与培训。,https://baike.baidu.com/item/%E9%A1%B9%E7%9B%AE/477803
6,中墨,中墨，读音zhōng mò，汉语词汇，解释为符合准绳。出自《蹇赋》。,https://baike.baidu.com/item/%E4%B8%AD%E5%A2%A8/3416986
3,科技,社会上习惯于把科学和技术连在一起，统称为科学技术，简称科技。实际二者既有密切联系，又有重要区别。科学解决理论问题，技术解决实际问题。科学要解决的问题，是发现自然界中确凿的事实与现象之间的关系，并建立理论把事实与现象联系起来；技术的任务则是把科学的成果应用到实际问题中去。科学主要是和未知的领域打交道，其进展，尤其是重大的突破，是难以预料的；技术是在相对成熟的领域内工作，可以做比较准确的规划。,https://baike.baidu.com/item/%E7%A7%91%E5%AD%A6%E6%8A%80%E6%9C%AF/3348043
