page_id,keyword,annotation,url
1,樊仲维,男，理学博士，博士生导师，二级研究员。工作单位：中国科学院光电研究院。,https://baike.baidu.com/item/%E6%A8%8A%E4%BB%B2%E7%BB%B4/10059387
1,李涤尘,李涤尘，男，汉族，1964年7月出生，中共党员，西安交通大学博士，机械制造系统工程国家重点实验室主任、教授、博士生导师。他主持的国家自然科学基金项目，以紫光灯取代激光器作为光固化成型光源研究已经实现产业化，并被列入国家火炬计划，高新技术推广项目，销售额已达1000多万元，使50家企业新增产值2亿元。2000年获得国家科技型中小企业创新基金，2001年获科技部“九五”国家重点科技攻关优秀成果。2000年获得首批国家教育部优秀青年教师与科研奖励基金；被列入国家教育部骨干青年教师计划。2017年5月，获得全国创新争先奖。,https://baike.baidu.com/item/%E6%9D%8E%E6%B6%A4%E5%B0%98/8476902
1,左世全,左世全，男，汉族，1979年10月生，山东省莒县人，中共党员。2009年毕业于中央财经大学，获经济学博士学位。2009年7月-2011年7月在清华大学汽车系做博士后工作，2011年7月在工业和信息化部中国电子信息产业发展研究院工作，现任装备工业研究所所长。,https://baike.baidu.com/item/%E5%B7%A6%E4%B8%96%E5%85%A8/9191129
1,杜宝瑞,《航空制造技术》创刊于1958年，是由中国航空工业集团公司主管，北京航空制造工程研究所主办的综合性科技期刊。据2018年9月《航空制造技术》编辑部官网显示，《航空制造技术》编辑委员会中国编委有45人，国际编委6人。据2018年9月23日中国知网显示，《航空制造技术》共出版文献12464篇、总被下载1523986次、总被引45341次、（2017版）复合影响因子为0.630、（2017版）综合影响因子为0.418。据2018年9月23日万方数据知识服务平台显示，《航空制造技术》载文量为8189篇，被引量为30753次，下载量为333762次。据2015年中国期刊引证报告（扩刊版）数据显示，《航空制造技术》影响因子为0.4。,https://baike.baidu.com/item/%E8%88%AA%E7%A9%BA%E5%88%B6%E9%80%A0%E6%8A%80%E6%9C%AF/1302860
1,研究所,研究所是指以科学研究为主要目的的社会企事业机构。在中国是一种完成为特殊科研目的和任务而建立的研究机构。随着社会的发展，现多以企业形式存在。在学术界，称其为科学试验的研究部门。研究所一直是国家重点扶持和照顾的对象，特别是军工类的研究所，比如航天两大集团，中电集团，航空，中船等重点研究所，一直是很多名校毕业生就业的首选。,https://baike.baidu.com/item/%E7%A0%94%E7%A9%B6%E6%89%80/1884021
1,中国科学院自动化研究所,中国科学院自动化研究所（Institute of Automation，Chinese Academy of Sciences）成立于1956年10月，是中国最早成立的国立自动化研究机构。1968年，自动化所整建制划入空间技术研究院，更名为空间控制技术研究所，番号中国人民解放军第五○二研究所。1970年，根据自动化学科技术发展的需要，中国科学院重建自动化研究所。自动化所已形成立足智能技术，聚焦复杂信息的智能计算、复杂系统的智能控制、集成化智能系统三个重要方向，基础研究、应用开发与高技术产业化“三位一体”，相互支持、相互补充的格局。截至2017年底，自动化所共有在职职工896人，其中科技人员795人，科技支撑人员54人；有4个二级学科博士、硕士研究生培养点，并设有1个博士后流动站；共有在学研究生663人（其中博士407人，硕士256人），在站博士后59人。[1-2],https://baike.baidu.com/item/%E4%B8%AD%E5%9B%BD%E7%A7%91%E5%AD%A6%E9%99%A2%E8%87%AA%E5%8A%A8%E5%8C%96%E7%A0%94%E7%A9%B6%E6%89%80/3274649
1,中国工程物理研究院,中国工程物理研究院（China Academy of Engineering Physics），简称 “中物院” ，是国家科研计划单列的中国唯一的核武器研制生产单位，是以发展国防尖端科学技术为主的集理论、实验、设计、生产为一体的综合性研究院。中物院成立于1958年的北京第九研究所，1964年更名为二机部第九研究设计院，1968年被授予军队番号中国人民解放军第九研究院，1973年使用第二机械工业部第九研究院名称，1982年更名为核工业部第九研究院，1985年对外使用中国工程物理研究院。中物院的研究领域包括物理学、力学与数学、化学与材料、信息科学与电子工程等方面。据2017年1月研究院官网显示，中物院共有在职员工约23000人，其中专业技术人员近10000人，技能人员近9000人，拥有中国科学院院士14人、中国工程院院士14人；截至2012年4月，研究院拥有12个研究所，2个新型科研中心，100余个科研室和30多个生产车间，有7个国防科技重点实验室。截至2016年9月，中物院开设4个博士后科研流动站、5个一级学科博士点、17个二级学科博士点、25个二级学科硕士点。,https://baike.baidu.com/item/%E4%B8%AD%E5%9B%BD%E5%B7%A5%E7%A8%8B%E7%89%A9%E7%90%86%E7%A0%94%E7%A9%B6%E9%99%A2/3565124
1,西北工业大学,西北工业大学（Northwestern Polytechnical University）简称“西工大”，位于陕西省会西安，直属中华人民共和国工业和信息化部，中央直管副部级建制，是中国唯一一所以同时发展航空、航天、航海（三航）工程教育和科学研究为特色的全国重点大学，位列国家“世界一流大学建设高校A类”、985工程、211工程；入选2011计划、111计划、卓越工程师教育培养计划、国家大学生创新性实验计划、新工科研究与实践项目、国家建设高水平大学公派研究生项目、中国政府奖学金来华留学生接收院校；卓越大学联盟、中俄工科大学联盟、中俄交通大学联盟、中英大学工程教育与研究联盟、“一带一路”航天创新联盟牵头成员，学位授权自主审核单位，欧盟QB50项目亚洲区唯一发起单位与亚洲区总协调单位。[1-2]1938年国立北洋工学院、国立北平大学工学院、国立东北大学工学院、私立焦作工学院在陕西汉中组建国立西北工学院；1946年迁至咸阳，1950年更名为西北工学院；1952年交通大学、浙江大学、南京大学的航空工程系在南京组建华东航空学院；1956年迁至西安，更名为西安航空学院；1957年，西北工学院与西安航空学院合并组建西北工业大学；1970年，原中国人民解放军军事工程学院航空工程系整体并入。截至2019年12月，学校友谊、长安及江苏太仓三个校区占地面积7100多亩，下设23个学院、67个本科专业；拥有21个博士后流动站、21个一级学科博士点、34个一级学科硕士点；教职工4000余人，全职院士7人，在校生2.9万余人。,https://baike.baidu.com/item/%E8%A5%BF%E5%8C%97%E5%B7%A5%E4%B8%9A%E5%A4%A7%E5%AD%A6/190114
1,胡晓阳,胡晓阳，男，1962年10月生，汉族，浙江省缙云县人。1984年毕业于浙江大学光学仪器专业，获学士学位，先后就职于机械部杭州照相机械研究所、浙江省档案局。现任浙江传媒学院设计艺术学院院长、分党委副书记。担任教育部高等学校美术学类专业教学指导委员会委员、全国照相机械标准化技术委员会委员、中国高等教育学会摄影教育专业委员会副理事长、浙江省摄影家协会副主席。,https://baike.baidu.com/item/%E8%83%A1%E6%99%93%E9%98%B3/63912
1,研究院,研究院，在学术界，称其为科学试验的研究机构。是大学之后的进阶教育研究机构，一般设于大学中，以“某大学某研究生院”的形式存在，也有独立设立者。研究院与研究生院是两个不同的概念，但港澳地区一般将“研究生院”称为“研究院”。,https://baike.baidu.com/item/%E7%A0%94%E7%A9%B6%E9%99%A2/5365502
