page_id,keyword,annotation,url
1,不设,不设防，原本是指不设置防卫的武装力量和设施 ，现一般用于比喻内心没有防备。,https://baike.baidu.com/item/%E4%B8%8D%E8%AE%BE%E9%98%B2/9332375
1,两档,连动式两档便器冲洗器，，管座上部设有竖直套筒，管座上还设有伸缩管，该伸缩管上端套在连接套上，连接套与滑动浮筒连接。,https://baike.baidu.com/item/%E8%BF%9E%E5%8A%A8%E5%BC%8F%E4%B8%A4%E6%A1%A3%E4%BE%BF%E5%99%A8%E5%86%B2%E6%B4%97%E5%99%A8/8717682
1,国拨,,https://baike.baidu.com//item/%E5%9B%BD%E6%8B%A8%E6%9D%90%E6%96%99%E3%80%81%E9%83%A8%E7%AE%A1%E6%9D%90%E6%96%99
1,对复,,https://baike.baidu.com//item/%E5%AF%B9%E5%A4%8D%E7%9F%A2%E5%88%A4
1,申报,《申报》原名《申江新报》，1872年4月30日（清同治十一年三月二十三日）在上海创刊，1949年5月27日停刊。是近代中国发行时间最久、具有广泛社会影响的报纸，是中国现代报纸开端的标志。它前后总计经营了77年，历经晚清、北洋政府、国民政府三个时代，共出版27000余期，出版时间之长，影响之广泛，同时期其它报纸难以企及，在中国新闻史和社会史研究上都占有重要地位，被人称为研究中国近现代史的“百科全书”。,https://baike.baidu.com/item/%E7%94%B3%E6%8A%A5/3577852
1,单位,单位，指机关、团体或属于一个机关、团体的各个部门；指数学方面或物理方面计量事物的标准量的名称。一般有：米（m）、千米（km）、牛（顿） N、帕（斯卡）Pa等单位；在佛教传统意义上讲单位，特指长度、质量、时间等的定量单位，也有专门的术语如：刹那、一瞬、弹指、须臾等。准确的说，单位就是将一定数量物质的集合规定为“1” ，成为一个单位。从广义上讲：单位是一个相对概念，其为事物坐标系中的坐标轴中能构成个体的抽象概念。事物的最小单位为零。,https://baike.baidu.com/item/%E5%8D%95%E4%BD%8D/32292
1,和部,,https://baike.baidu.com//item/%E5%A4%84%E5%92%8C%E9%83%A8
1,工复产,,https://baike.baidu.com//item/%E5%A4%8D%E5%B7%A5%E5%A4%8D%E4%BA%A7
1,经费,经费是指行政事业单位为完成工作任务和事业计划所需经常费用的统称。这些单位一般不直接从事物质资料生产，没有独立、稳定的收入来源。或者虽有一部分收入，但大都不足以抵补本身的业务支出，需要国家预算拨付经费。经费按用途可分为人员经费和公用经费。或分为维持经费和发展经费。前者指维持原有行政事业单位机构及规模的人员经费和公用经费; 后者是指在计划年度内，经批准新增加的机构、人员或其他事业项目所需的经费。原单位增加少量人员，不增设机构和不扩大事业项目的，属于自然增长，不作为发展经费。,https://baike.baidu.com/item/%E7%BB%8F%E8%B4%B9/1705671
1,项目,项目是人们通过努力，运用新的方法，将人力的、材料的和财务的资源组织起来，在给定的费用和时间约束规范内，完成一项独立的、一次性的工作任务，以期达到由数量和质量指标所限定的目标。叶圣陶《倪焕之》二五：“教育这个项目当然是不容轻易忽略的。” 洪深 《戏剧导演的初步知识》上篇二：“它们的式样、大小、制造的材料、使用的方法等等，项目繁多。” 秦牧 《艺海拾贝·核心》：“生动的语言和丰富的词汇，看来该是技巧性很强的一个项目了。”项目参数包括项目范围、质量、成本、时间、资源。美国项目管理协会（project Management Institute，PMI)在其出版的《项目管理知识体系指南》（Project Management Body of Knowledge，PMBOK）中为项目所做的定义是：项目是为创造独特的产品、服务或成果而进行的临时性工作。以下活动都可以称为一个项目：1、开发一项新产品；2、计划举行一项大型活动（如策划组织婚礼、大型国际会议等）；3、策划一次自驾游旅游；4、ERP的咨询、开发、实施与培训。,https://baike.baidu.com/item/%E9%A1%B9%E7%9B%AE/477803
1,限报,,https://baike.baidu.com/item/%E5%BC%BA%E5%88%B6%E9%99%90%E6%8A%A5%E6%97%A5%E6%9C%9F/2307697
1,带动,带动，读音dài dòng，汉语词语，意思是通过动力使有关部分相应地动起来。,https://baike.baidu.com/item/%E5%B8%A6%E5%8A%A8/4028007
1,推荐,推荐，拼音为tuī jiàn，汉语词语，意思是推荐，介绍，建议最好去选择你看中的答案，推举。出自《汉书·王莽传上》。,https://baike.baidu.com/item/%E6%8E%A8%E8%8D%90/2418965
1,牵头,牵头，汉语词语，拼音是qiān tóu，意思是领头；多方合作共事时，由一方负责联系和组织各方协同工作。,https://baike.baidu.com/item/%E7%89%B5%E5%A4%B4/4201449
1,万元,万元  1950年2月生，山西大同人，中共党员，大专文化，集宁市手工业联社党委书记兼集宁市二轻工业系统工会主席。,https://baike.baidu.com/item/%E4%B8%87%E5%85%83/8727261
1,超过,超过，意思是指超越别人；在品质、功绩、道德或技术等方面超出。语出《法苑珠林》卷一○七：“﹝道朗﹞既从 进 （ 道进 ）受，以为菩萨胜地，超过三乘。”,https://baike.baidu.com/item/%E8%B6%85%E8%BF%87/7836274
